                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3932,                0.38894,                0.55238,                0.02507,                0.06762,                0.02078,                0.00572,                 1.2472,                0.38857,                0.59959,                 0.0501,              4.995e-05,              4.995e-05
                      2,                 1.1082,                0.50047,                0.35014,                0.04623,                0.18643,                0.05235,                0.01527,                0.95646,                0.56871,                    0.3,             0.00014995,              9.995e-05,              9.995e-05
                      3,                0.99774,                0.57255,                0.30239,                0.04777,                0.13662,                0.04017,                0.01127,                 1.0689,                0.49644,                0.35999,                 0.0001,                 0.0001,                 0.0001
                      4,                 0.9771,                0.59252,                0.30349,                0.05174,                0.16956,                0.04587,                 0.0136,                0.99859,                0.54767,                0.32641,                 0.0001,                 0.0001,                 0.0001
                      5,                0.92269,                0.61435,                0.28173,                0.07252,                0.15426,                0.06125,                0.01711,                 1.0279,                0.51589,                0.31454,                 0.0001,                 0.0001,                 0.0001
                      6,                0.87729,                0.63349,                0.26374,                0.07591,                  0.183,                0.06286,                0.01908,                0.94438,                0.56744,                0.28305,                 0.0001,                 0.0001,                 0.0001
                      7,                0.85141,                0.64434,                0.25287,                0.09226,                0.18135,                0.09188,                0.02792,                 0.9159,                0.56074,                0.25797,                 0.0001,                 0.0001,                 0.0001
                      8,                0.83294,                 0.6512,                0.24689,                0.08153,                0.21276,                0.09085,                0.03048,                0.79008,                0.65348,                0.22536,                 0.0001,                 0.0001,                 0.0001
                      9,                0.80904,                0.65906,                0.23519,                0.08466,                0.19334,                0.09711,                0.02909,                 0.8408,                0.60959,                0.23601,                 0.0001,                 0.0001,                 0.0001
                     10,                0.79677,                0.65896,                0.23122,                0.08352,                0.20704,                0.10224,                0.03177,                0.81146,                0.63067,                0.22399,                 0.0001,                 0.0001,                 0.0001
                     11,                0.77207,                0.66747,                0.21663,                0.29584,                0.20415,                0.11926,                0.03731,                0.79557,                0.63058,                0.22508,                 0.0001,                 0.0001,                 0.0001
                     12,                0.77686,                0.65947,                0.21735,                0.29703,                0.20103,                0.12101,                0.03955,                0.79156,                 0.6219,                0.22162,                 0.0001,                 0.0001,                 0.0001
                     13,                0.75106,                 0.6644,                0.20671,                0.30867,                0.19385,                0.12832,                0.04167,                0.78841,                0.62148,                0.22219,                 0.0001,                 0.0001,                 0.0001
                     14,                0.75705,                0.65076,                0.20943,                0.31496,                0.19339,                0.12855,                0.04223,                0.79882,                0.60591,                0.22296,                 0.0001,                 0.0001,                 0.0001
                     15,                0.73821,                0.65235,                0.20139,                0.31929,                0.19676,                0.13384,                0.04414,                0.79718,                0.60424,                0.22142,                 0.0001,                 0.0001,                 0.0001
                     16,                0.73004,                0.64926,                0.19701,                0.32491,                0.19457,                0.13743,                0.04657,                0.78783,                0.60778,                 0.2173,                 0.0001,                 0.0001,                 0.0001
                     17,                0.72467,                0.64537,                0.19486,                0.32857,                0.19026,                0.14363,                 0.0484,                0.78415,                0.60848,                0.21589,                 0.0001,                 0.0001,                 0.0001
                     18,                 0.7179,                0.64062,                0.19108,                0.33335,                0.18893,                0.15063,                 0.0504,                0.77779,                0.60927,                0.21362,                 0.0001,                 0.0001,                 0.0001
                     19,                0.72188,                0.63261,                0.19418,                0.53516,                 0.1909,                0.14604,                0.05122,                0.77374,                0.60853,                0.21154,                 0.0001,                 0.0001,                 0.0001
                     20,                0.71815,                0.62866,                0.19383,                0.53774,                0.19276,                0.15033,                0.05367,                0.76673,                0.61009,                0.20881,                 0.0001,                 0.0001,                 0.0001
                     21,                0.70649,                0.62661,                0.18742,                 0.5388,                0.19546,                0.15502,                 0.0559,                0.75897,                0.61303,                 0.2062,                 0.0001,                 0.0001,                 0.0001
                     22,                0.70343,                0.62271,                0.18652,                0.54231,                0.19862,                0.15923,                0.05688,                0.75163,                0.61496,                0.20381,                 0.0001,                 0.0001,                 0.0001
                     23,                0.70094,                0.61946,                 0.1873,                0.53927,                0.20325,                 0.1633,                0.06141,                0.74583,                0.61603,                0.20177,                 0.0001,                 0.0001,                 0.0001
                     24,                0.69796,                0.61231,                0.18504,                  0.512,                0.21519,                0.17831,                0.06627,                0.74179,                0.61598,                0.20058,                 0.0001,                 0.0001,                 0.0001
                     25,                0.69623,                0.60685,                0.18351,                0.48772,                0.21482,                0.17768,                0.06524,                0.73964,                0.61423,                0.19967,                 0.0001,                 0.0001,                 0.0001
                     26,                0.69668,                0.60826,                0.18558,                0.44165,                0.21822,                0.17973,                0.06621,                 0.7361,                0.61398,                0.19843,                 0.0001,                 0.0001,                 0.0001
                     27,                0.67949,                0.60359,                  0.176,                0.40061,                0.21834,                0.17246,                 0.0662,                0.73325,                0.61217,                0.19695,                 0.0001,                 0.0001,                 0.0001
