                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5173,                0.31799,                0.69038,                0.03699,                0.06816,                0.02363,                0.00611,                 1.4195,                0.34377,                0.57135,                 0.0501,              4.995e-05,              4.995e-05
                      2,                 1.3419,                0.37793,                0.54412,                0.03671,                0.13283,                0.03578,                0.01011,                 1.1165,                0.49037,                 0.4258,             0.00014995,              9.995e-05,              9.995e-05
                      3,                 1.1199,                0.49127,                0.36873,                0.25661,                0.16193,                0.05742,                0.01683,                0.99068,                0.55638,                0.32417,                 0.0001,                 0.0001,                 0.0001
                      4,                0.97356,                0.57046,                0.29433,                0.48153,                0.10287,                0.05358,                0.01479,                 1.0726,                0.48303,                0.40694,                 0.0001,                 0.0001,                 0.0001
                      5,                0.92662,                0.59231,                0.27402,                0.04999,                0.15108,                0.04725,                0.01381,                 1.0332,                0.51249,                0.33709,                 0.0001,                 0.0001,                 0.0001
                      6,                0.90047,                0.60529,                0.26093,                0.06056,                0.14613,                0.05407,                0.01559,                 1.0269,                0.50068,                0.33884,                 0.0001,                 0.0001,                 0.0001
                      7,                0.87907,                0.61496,                0.25188,                0.06286,                0.20509,                0.07519,                0.02476,                0.85027,                0.62154,                0.24926,                 0.0001,                 0.0001,                 0.0001
                      8,                0.86862,                0.61578,                0.24954,                0.10734,                0.15429,                0.09613,                0.03289,                0.85477,                0.60014,                0.25079,                 0.0001,                 0.0001,                 0.0001
                      9,                0.85015,                0.59329,                0.24095,                0.10565,                0.18599,                0.10382,                0.03398,                0.88481,                0.54189,                0.25367,                 0.0001,                 0.0001,                 0.0001
                     10,                0.81469,                0.59016,                0.22879,                0.30972,                0.19701,                0.11057,                0.03723,                0.84351,                0.56664,                0.23619,                 0.0001,                 0.0001,                 0.0001
                     11,                0.77751,                0.60935,                0.21284,                0.13363,                0.20426,                0.14246,                0.05043,                0.78367,                0.59282,                0.22043,                 0.0001,                 0.0001,                 0.0001
                     12,                 0.7599,                0.61698,                0.20759,                0.12555,                0.20553,                0.13667,                0.04862,                0.78995,                0.59347,                0.22117,                 0.0001,                 0.0001,                 0.0001
                     13,                0.74708,                0.61969,                0.20344,                0.33122,                0.20569,                0.14634,                0.05249,                0.77782,                0.59455,                 0.2192,                 0.0001,                 0.0001,                 0.0001
                     14,                0.73922,                0.62031,                0.20075,                0.33435,                0.20808,                0.14889,                0.05368,                0.77347,                0.59337,                0.21562,                 0.0001,                 0.0001,                 0.0001
                     15,                 0.7243,                0.62616,                0.19426,                0.33644,                0.21102,                0.15661,                0.05577,                0.76004,                0.60271,                0.21241,                 0.0001,                 0.0001,                 0.0001
                     16,                0.71709,                0.62583,                0.19119,                0.33797,                0.21137,                 0.1598,                0.05862,                0.75175,                0.60592,                0.20834,                 0.0001,                 0.0001,                 0.0001
                     17,                0.71224,                0.62445,                0.18994,                0.32961,                0.22523,                0.16474,                0.05923,                0.75031,                0.60492,                0.20769,                 0.0001,                 0.0001,                 0.0001
                     18,                0.70129,                0.62435,                  0.185,                0.33089,                0.22605,                0.16719,                0.06131,                0.74593,                0.60412,                0.20621,                 0.0001,                 0.0001,                 0.0001
                     19,                0.70251,                0.61957,                0.18629,                0.33344,                0.22883,                0.17356,                0.06332,                0.74093,                0.60476,                 0.2032,                 0.0001,                 0.0001,                 0.0001
                     20,                0.69337,                0.62205,                0.18388,                0.34026,                0.22889,                0.17508,                0.06522,                0.73327,                0.60657,                0.19956,                 0.0001,                 0.0001,                 0.0001
                     21,                0.68411,                0.61663,                0.17863,                 0.3393,                 0.2297,                0.17707,                0.06716,                0.72634,                0.60854,                0.19627,                 0.0001,                 0.0001,                 0.0001
                     22,                0.67928,                0.61591,                0.17758,                0.34698,                0.22983,                0.17823,                0.06808,                 0.7219,                0.60817,                0.19434,                 0.0001,                 0.0001,                 0.0001
                     23,                0.68114,                0.61439,                0.18078,                0.34871,                0.23083,                0.18105,                0.06963,                0.71752,                0.60774,                0.19255,                 0.0001,                 0.0001,                 0.0001
                     24,                0.67584,                0.60633,                0.17753,                0.35237,                0.22998,                0.18278,                0.07091,                0.71309,                  0.607,                0.19083,                 0.0001,                 0.0001,                 0.0001
                     25,                0.67184,                0.60181,                0.17548,                0.55642,                0.23215,                0.18602,                0.07274,                0.70775,                0.60601,                0.18857,                 0.0001,                 0.0001,                 0.0001
                     26,                0.67015,                0.59837,                0.17515,                0.40931,                0.23433,                0.18891,                0.07532,                 0.7028,                0.60443,                0.18678,                 0.0001,                 0.0001,                 0.0001
