                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5007,                0.37203,                0.56767,                0.00961,                 0.0274,                0.00441,                0.00138,                  1.916,                0.11431,                 1.2355,                 0.0501,              4.995e-05,              4.995e-05
                      2,                 1.3619,                0.46113,                0.41449,                 0.0334,                 0.1408,                0.03668,                0.01021,                 1.2935,                0.49803,                0.40566,             0.00014995,              9.995e-05,              9.995e-05
                      3,                 1.2781,                0.51489,                0.34761,                0.05088,                0.16315,                0.04997,                0.01416,                 1.2086,                0.55561,                0.33077,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.1969,                0.56982,                0.30098,                0.24887,                0.18839,                0.06122,                0.01929,                 1.1576,                0.59372,                0.29896,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1623,                0.59185,                0.28197,                0.05296,                0.17455,                0.04999,                0.01554,                 1.1989,                0.55542,                0.33707,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.1339,                0.60901,                0.27184,                0.06208,                 0.1906,                0.05855,                0.01891,                  1.139,                0.59911,                0.27761,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.1103,                 0.6217,                0.25604,                0.05873,                0.17693,                0.06161,                0.01957,                 1.1598,                0.57451,                0.30551,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0916,                0.63245,                0.25055,                0.06141,                0.20465,                0.07287,                0.02572,                 1.0904,                0.62068,                0.24558,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.0753,                0.64123,                 0.2434,                0.06071,                0.20771,                0.07269,                0.02572,                 1.0819,                0.63434,                0.24643,                 0.0001,                 0.0001,                 0.0001
                     10,                 1.0683,                0.63076,                0.24193,                0.09508,                0.17629,                0.10434,                0.03764,                 1.0842,                 0.5851,                0.23964,                 0.0001,                 0.0001,                 0.0001
                     11,                 1.0525,                0.60401,                0.23332,                0.11368,                0.20522,                0.13022,                0.04665,                 1.0532,                0.57146,                0.23158,                 0.0001,                 0.0001,                 0.0001
                     12,                 1.0228,                  0.606,                0.22144,                0.31964,                 0.2123,                0.13734,                0.05016,                  1.009,                0.60448,                0.21576,                 0.0001,                 0.0001,                 0.0001
                     13,                0.98567,                0.62141,                0.20638,                0.32499,                0.21547,                0.14576,                 0.0552,                0.96933,                0.62778,                 0.2055,                 0.0001,                 0.0001,                 0.0001
                     14,                0.96713,                0.63159,                0.19986,                0.52957,                0.21813,                0.15948,                 0.0617,                0.95165,                0.63662,                0.19595,                 0.0001,                 0.0001,                 0.0001
                     15,                0.95452,                 0.6337,                0.19342,                0.33892,                0.21701,                0.15948,                0.06258,                0.93959,                0.63871,                 0.1917,                 0.0001,                 0.0001,                 0.0001
                     16,                0.94038,                0.63398,                0.18706,                0.73278,                0.22221,                0.17138,                0.06712,                0.93341,                0.64217,                0.18864,                 0.0001,                 0.0001,                 0.0001
                     17,                0.93181,                0.63476,                0.18553,                0.53646,                 0.2205,                0.17962,                0.07103,                0.92676,                0.64176,                0.18728,                 0.0001,                 0.0001,                 0.0001
                     18,                 0.9253,                0.63086,                 0.1807,                0.53395,                  0.232,                0.18196,                0.07564,                0.91829,                0.64126,                0.18478,                 0.0001,                 0.0001,                 0.0001
                     19,                0.92052,                 0.6296,                0.18163,                0.45849,                0.24311,                0.18561,                 0.0774,                0.91271,                0.64251,                0.18229,                 0.0001,                 0.0001,                 0.0001
                     20,                0.91367,                0.63095,                0.17946,                0.44206,                0.24594,                0.19369,                0.08143,                0.90486,                0.64463,                0.17905,                 0.0001,                 0.0001,                 0.0001
                     21,                 0.9084,                0.62439,                0.17639,                0.43497,                0.24303,                0.19287,                0.08275,                 0.8993,                0.64578,                0.17694,                 0.0001,                 0.0001,                 0.0001
                     22,                0.90031,                0.62047,                0.17451,                0.43336,                0.24099,                0.19462,                0.08465,                0.89189,                0.64738,                0.17447,                 0.0001,                 0.0001,                 0.0001
                     23,                0.89768,                0.61815,                 0.1755,                0.43051,                  0.251,                0.20637,                0.08778,                0.88479,                0.64779,                0.17256,                 0.0001,                 0.0001,                 0.0001
